name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,city,latitude,longitude,has_online_delivery,is_delivering_now,has_table_booking
Mumbai Cafe,"Indian, Durban",2.6,Average,23,R,100,2,"Rawoot Square, Rylands",Cape Town,-33.9674900000,18.5288580000,0,0,0
Adega Express,"Portuguese, Pizza",2.6,Average,15,R,220,3,"Cavendish Square, Claremont",Cape Town,-33.9802700000,18.4635740000,0,0,0
Tai Chung,Chinese,2.6,Average,16,R,180,2,Athlone,Cape Town,-33.9645000000,18.5143333333,0,0,0
Debonairs Pizza,Pizza,2.6,Average,14,R,150,2,"Westcoast Village, Sunningdale",Cape Town,-33.8049765253,18.4845007583,0,0,0
McDonalds,Fast Food,2.6,Average,11,R,100,2,"Cavendish Square, Claremont",Cape Town,-33.9799710000,18.4630850000,0,0,0
Debonairs Pizza,Pizza,2.6,Average,15,R,150,2,"Canal Walk Mall, Century City",Cape Town,-33.8926666667,18.5105000000,0,0,0
Burger King,"Burger, Fast Food",2.6,Average,15,R,140,2,Crawford,Cape Town,-33.9892720000,18.5100820000,0,0,0
Cinnabon,Desserts,2.6,Average,12,R,100,2,"Tygervalley Shopping Centre, Bellvile",Cape Town,-33.8730848933,18.6349133402,0,0,0
Steers,Fast Food,2.6,Average,7,R,135,2,"Cavendish Square, Claremont",Cape Town,-33.9799710000,18.4630850000,0,0,0
Domino's Pizza,Pizza,2.6,Average,12,R,180,2,Sea Point,Cape Town,-33.9093650000,18.3954200000,0,0,0
Hot Fusion,"Indian, Pakistani",2.6,Average,12,R,105,2,Rondebosch,Cape Town,-33.9606560000,18.4705750000,0,0,0
Debonairs Pizza,Pizza,2.6,Average,9,R,150,2,Gardens,Cape Town,-33.9318333333,18.4090000000,0,0,0
Lua,Asian,2.6,Average,8,R,150,2,"V & A Foodmarket, V & A Waterfront",Cape Town,-33.9064149935,18.4194360673,0,0,0
McDonalds,Fast Food,2.6,Average,14,R,100,2,"Eikestad Mall, Stellenbosch",Cape Town,-33.9353400000,18.8602630000,0,0,0
Calamari King,"Fish and Chips, Fast Food",2.6,Average,11,R,100,2,"Canal Walk Mall, Century City",Cape Town,-33.8928333333,18.5106666667,0,0,0
McDonalds,Fast Food,2.6,Average,8,R,100,2,Pinelands,Cape Town,-33.9329059049,18.5096699372,0,0,0
Fishaways,"Fast Food, Seafood",2.6,Average,7,R,200,3,"Bayside Mall, Table View",Cape Town,-33.8235000000,18.4890000000,0,0,0
KFC,Fast Food,2.6,Average,7,R,150,2,Noordhoek,Cape Town,-34.1223820000,18.3899840000,0,0,0
Sausage Saloon,Fast Food,2.6,Average,8,R,100,2,"Canal Walk Mall, Century City",Cape Town,-33.8936666667,18.5093333333,0,0,0
KFC,Fast Food,2.6,Average,10,R,150,2,"Sandown Retail Crossing Center, Parklands",Cape Town,-33.8001285902,18.5014529899,0,0,0
Chicken Tikka Inn,"Indian, Grill",2.6,Average,5,R,130,2,Crawford,Cape Town,-33.9735007189,18.5022123903,0,0,0
Steers,Fast Food,2.6,Average,6,R,135,2,Bellville,Cape Town,-33.8691703489,18.6390167847,0,0,0
KFC,Fast Food,2.6,Average,7,R,150,2,Hout Bay,Cape Town,-34.0416666667,18.3510000000,0,0,0
McDonalds,Fast Food,2.6,Average,6,R,100,2,Hannover,Cape Town,-34.0008888428,18.5233461857,0,0,0
KFC,Fast Food,2.6,Average,5,R,150,2,Parow,Cape Town,-33.9050810000,18.5908580000,0,0,0
KFC,Fast Food,2.6,Average,4,R,150,2,Woodstock,Cape Town,-33.9306666667,18.4535000000,0,0,0
Vida E Caffe,"Cafe, Desserts",2.7,Average,29,R,150,2,"Canal Walk Mall, Century City",Cape Town,-33.8926666667,18.5106666667,0,0,0
Aneesa's Foods,Fast Food,2.7,Average,23,R,100,2,Athlone,Cape Town,-33.9641666667,18.5178333333,0,0,0
Roman's Pizza,Pizza,2.8,Average,8,R,150,2,Rylands,Cape Town,-33.9673333333,18.5290000000,0,0,0
Anat,"Lebanese, Fast Food",2.7,Average,27,R,120,2,"Canal Walk Mall, Century City",Cape Town,-33.8926666667,18.5105000000,0,0,0
McDonalds,Fast Food,2.6,Average,9,R,100,2,Claremont,Cape Town,-33.9808333333,18.4651666667,0,0,0
The Rib Cage,Grill,2.7,Average,13,R,200,3,Plumstead,Cape Town,-34.0228333333,18.4670000000,0,0,0
McDonalds,Fast Food,2.7,Average,18,R,100,2,Gardens,Cape Town,-33.9273333333,18.4131666667,0,0,0
Sunrise Chip 'n Ranch,"Cape Malay, Durban, Fast Food",2.7,Average,19,R,150,2,Mowbray,Cape Town,-33.9480430000,18.4713400000,0,0,0
Steers,Fast Food,2.7,Average,19,R,135,2,"Westcoast Village, Sunningdale",Cape Town,-33.8048219060,18.4861204773,0,0,0
Cape to India,"Fast Food, Indian, Durban",2.7,Average,8,R,180,2,Athlone,Cape Town,-33.9646666667,18.5143333333,0,0,0
Burger King,"Burger, Fast Food",2.7,Average,19,R,140,2,"Capegate Shopping Center, Brackenfell",Cape Town,-33.8523877191,18.6973575130,0,0,0
Burger King,"Burger, Fast Food",2.7,Average,10,R,140,2,"Grandwest Casino, Goodwood",Cape Town,-33.9169179159,18.5475454107,0,0,0
Roman's Pizza,Pizza,2.7,Average,12,R,150,2,Plattekloof,Cape Town,-33.8741450000,18.5784470000,0,0,0
Roman's Pizza,Pizza,2.7,Average,16,R,150,2,"Parklands Junction, Parklands",Cape Town,-33.8133333333,18.5076666667,0,0,0
Kfc,Fast Food,2.7,Average,7,R,150,2,Rondebosch,Cape Town,-33.9602737320,18.4701901674,0,0,0
Bello Pizza,Pizza,2.7,Average,13,R,170,2,Kuilsriver,Cape Town,-33.9352828845,18.6977001652,0,0,0
